uid,reg_dt
514971a720a08221a8d3d4e0ba8872cbc981c50ddfe9b63806c76dd6,2019-07-12
b73942804429c84b1d67203c7e9afa3e8521af4490982eab029cbad9,2019-07-20
db96fc196d518f1b494deccd54578890f678d549a246b1b44cfa45b1,2019-07-23
c6950e9437ac437ee7ee5ef3d10d49a80a8c08e2e40a02b2960059be,2020-01-03
49fa20b76e36a2adea9776d2f969836270c0a9d0620a376a7a5ec5b8,2019-07-17
3c0b93b42043a46589692631d55958e7bc5bbea6cef11e2c636ab31d,2019-07-20
3a8bc3d57719cba0ffd09b78173fbf0d97214181e0ac3023e4955fec,2019-08-17
f019c23c316aea2592ad3c2622aca25d91a5063abd12115c3f587f9b,2019-08-07
04d6b8be00f314b11204c4adfc5a586fe943b1199e9600df398cebf8,2019-10-30
97a63064f5f0a7ffa1c2f0506ef2d004e6e813bb0cf06ff62bc85fb5,2019-04-20
3067b3c65ee4bbcc31bff0ee20928f4c7faf8c23e963f3c155e5c6ca,2019-06-02
1428d69d1333d1e0b812e95ecb1de40bede7b1f35f0781ffbdd2913f,2019-08-24
9e870cc2f0ebceeda992586ab6b6f0127cb390c9f19d06b3eedc109a,2019-07-28
17f2be48f29366247c132ffdf817c25658c41de57925a01a14b8dd03,2020-01-08
7f8acf8f51007c2780a5305c378ab217db5e5097df1734511c954b64,2019-04-20
a25649cb24f02ef6c3589f38800af45579bc9b84b7ea4a581592f2e0,2019-08-28
8a517466d4d5991941e9e0fb88a9e59f9d35fc769b2802c5f65aee96,2019-10-31
9064357fe574e1ac28493b9112916d6a4ffcf6fe96b301351170b908,2019-05-28
bb21344f352a585d432ed03203f0bac6f453482cd7e0c22a85e4a04c,2019-09-16
2c4ae3bd4e2d5585a0d654cfa998e6cdef7b467a48cb26dfe4e1bd79,2019-08-30
0886a4d8d768fd080538906df52b20d3a94d68a32fa74e870e8d030b,2019-11-10
367c1194390fb396968fa3d88e2080a25a419c50405f1526d4e39078,2019-05-30
4d25b13f4f2a785b531d2afd6f11cb9d021058e516d096f6a8972676,2020-01-04
58da8ebefe53d92156383db080aef280ad866a189fb39aef61363d4c,2019-10-25
51b2f84b7c39a3f0c839fdf950b4943cea56beba6f41d811d74b2be4,2019-11-07
eb9fbb11fc7817c5cbe1172891b319df3eedf3a816f04d3ef2353707,2019-07-02
8af32ee9622228c3de7cbde93bcbd647d27da5c72867449685866076,2019-07-15
3467cb8450eb1aad5a2ba449b8eaeb5776b45e75bfbe9da23d254562,2019-07-14
022dba77d1e822b06487073350ce60e65c1e806c3c242079547b5b17,2019-06-06
78c68711721c2c8de78c366feb365319871a87db4aed5f88df2a0238,2019-10-04
ffde10714ed36daf637a922a404644ae771c2ec0405f7e87dab2aad1,2019-04-26
e89f99dcdc28a1c4932963377b0051fbb02b03fa59f905204e767d18,2019-06-03
a6570361f1758a357dbee79d3be4b01ec89238774206e6f0ac43aab9,2019-08-05
2081ec507507b1fecdf2b3e3c9a0a0b3b09f7549c551cca04c76b40c,2019-08-24
9d847400bb23d3ba8ad503067a65d4997b328a49351ba3716ac597d1,2020-01-04
524ed5d342538b4bdb2e202ae390f8e1846ebb4c79c2f7e65a3a7f04,2019-08-09
0e4bd8f1d9157cba3a03f35e23d5780a4a759a77a69bc3978006f568,2019-04-16
39f354d5f2134b512477b5c8a92fcbbd54acfdf0657bc2bbfd9d5147,2019-06-19
a4dd94da9502be1ab828dd9178926a6245c882ab74f13f2f404005ea,2019-05-11
0c85bee539d0ac6ed9fc499edf023f80afe5c40bbf9dcd4bb220c86a,2019-07-04
c6bc96b79989cf52d7c0fec109a7d33285b5c92ec075fbb36befbddf,2020-01-01
95c390b1f12e4960040aaa751555824c5e8409992ca2d225a7445145,2019-12-09
a414b495d9981c4758b20477ad16cd52301a8f56a3455dbfdc06d8d8,2019-08-17
a6327375cb1cc635c057cec97d66555a25f347624476719b79d13890,2019-04-29
1822be7ebf859c760a1fe05b32a609a90505c13d2b344527e5e9f7c0,2019-08-05
f7265e861086c1bb264903adaa59b874e7369fd2288ec1daf6d5c167,2019-07-30
0ca7e66aa78bc6de36c9dbb63b0a834c5bcd618215fdd7b2c2d8f69f,2019-05-10
8b2886a9915547933fa7c380a39cdf6f4d5f3e3921ef14b403641f93,2019-11-29
3291097c598e6fd773404a21f3d6ff27fd57ed9d243758907cf14912,2019-06-03
f2f8fcc27ee3c5b751273670431bc288a3170e02b7fde10375e72811,2019-07-31
a8cd38d9fe827d20d883f678f1cd6ca11a5cfad71e5a62a535df17fe,2019-07-16
2265874556cd561d2bb22b8ad7873ade28d742a73ce7580dd7994ebb,2019-06-12
fa81abaa9cbcf863611988b52f74ccd2fb9df641a043d0d17ebcd6d4,2019-08-11
2990becccc20bdea89903fe45f4fc6e076c50f7db50dd3cb4c0bd158,2019-08-05
851c960a61592e88f169b26e24247e6303b32c2b4a08f0673039dfcf,2019-04-21
c859b43ff2a7d483a6338739689ea56d34f4e45599cbe34efebf9fe5,2019-08-01
a0db50729a2417a335607a004d8e48818c5cc7bd643020775db10330,2019-05-14
eb204dd38fd43e424608018ca26fed2ea14f0eec2313960bade88d0c,2019-07-12
2f50ec60a2ff6df6986d2d09bbcc7f663208ee2422c2a5607cb3f464,2019-07-27
937d4511fd10a2db90b79d2ebd2b1b46a66b1337fd2a0dfc69e9da10,2019-09-13
09b95f116870f43bdc1398cc87bf9ff2c36196c5ca0ea07e23c813ce,2019-08-30
0ab3ca98ad0fd773c91b122bc38a97721134e04f23bfaf65598b2c6f,2019-10-21
0309e74f59109e8c02e100a1caa05ad3be7e83a25b3fb925f09d12cf,2019-12-30
527f21fd53329c3c5f0f09c0bb9ac4001f9a13e42d797e86327bea3f,2019-10-26
69a70eedc0bbdbb1a305cce559b3ef9034e34c0d98539c395be7307e,2019-09-30
c0b9af7c7ca4d76a94a01b46c8b6786be5dc9d6d4b945bece57cd291,2019-08-23
194de95e90396ff386ed2e05d5bf1e8a48777b1aa281a7a3ae6c57ab,2019-09-03
71f87710c55dc0af9e9306a40d57502784c0c4545cf35dfa860ce9f6,2019-10-03
389996d4c147a65179b50ee97ed4d28a491ef57dc45c2acfc7d73985,2019-07-11
a15867eb39b8d19da1fc32bcc350538e43590324571dbbe36917b2f2,2019-04-29
3266e802621951132876cd9acc79e1d5c7e87fc8855ecfecece1b96b,2019-05-27
3e0b43d41e4dd4922fb2036c044e916606d6e8a3cc1fdf6cc69844b8,2019-12-22
7ecc86f6d472d36f01a1ee051a30f22d1477ec4e28364020f3303e62,2019-09-11
b850a095307548f02e4cce161028b43aadea312c762d1b8e794436a6,2019-04-18
d61c7a929934bf364d436042f5fcecfad63a61f974f0f03096e2fd6d,2019-12-15
fed894634e8d2333249a388fab052de3a4c47b50b9df34927c97d907,2019-07-25
79474b57ddb5f63b98c0d5e5e5d8b35eed972bd8398b4b6e49d40c6c,2019-05-05
7dcfe4b28da9c023a2a4a6994088d4e9a0214a8c36e00bd03cfdb354,2019-11-19
a606c1fc6f8b381ff329139481d6220525b660f315c854bceb333830,2019-07-10
59fc9b224d1e6308002663c64db6f910f9305a770980ab871b1e3c65,2019-09-18
c1846a028d0cdba9bf3ccfa63bbd92c156c79f79a107e01c920aecd4,2019-07-18
27144c8ed481dd22f74c70090a1ddc72e88ec402004f87ffe3c400f9,2019-10-12
623f7c62bdc4d22a833fb3aec02ae3ce88cae882e3cbbb57ad144e20,2019-06-15
cc121b012248e9ecf68e3c88de668e63d93e71f8a8e3ab91e3d3bf2f,2019-05-17
47b9f9a9e62fb47e6565e6caabee96f5a825ebb9bb57c0efb1a67bb7,2019-05-12
04848465061e3c1efc37d68815fab4f6bbee327008acbd749fbcdb12,2019-09-02
bd9f420ca08275738722d13fbc8ab4318fc5ce0d37a24479d007108f,2019-04-30
e3eec621afe4c26b4951daec9cd7aac36bdfa1cd1a3992a087e460ad,2019-07-31
7d170c1e31d2188ed67a76dae1b1924fcd7ba8cfdf9b512f654d8369,2019-10-09
2476e3aabf3f7589a8ec3fe767d9f0f84302fa3a50857820272c1efb,2019-07-19
e0d47b4bb51f7938a2f0be6fc096abbf772b2e2414f3818791366211,2019-04-18
bf99ca76afada93d518a862915b6fd58689b5957ea3b10f3ec860037,2019-07-17
25c330952f487c2834bf5e01dffb1374833a6f01f2de6775fd60e67c,2019-12-09
4d4b533e268c4cc0c1150b7f58a4953d510fdbf94723a2addeab981d,2019-05-02
521b761e090df209b3a4fd44a706f81c3eaad5bccfce1f18e2d9e678,2019-05-29
4d4b48f23e8ff731c15fe231db59be29873ef1266f0c9f51cf876c74,2019-09-16
89f521f5dbaf6085731e79b347d4efaa44ed131b1e83ec24dd36b5f6,2019-11-27
45fb1428651a44bf18db77af04a9e577a0ca17d42412584f7c79e37e,2019-05-11
0516f37e7150c707df6dd98eba9698b2bb1af903cd3a3513ccd91628,2019-09-01
36596a79ea647eac03515aaa49125f03907bfce30b0d76a7809a4bb1,2019-12-13
ceeed8dcc60cd17f2eac7843c52d5ace96eeca7d51ced7eacd024f92,2019-07-12
2bc3b42f304a84b5499b931f388dece4fadba6acdbb127c495de3e83,2019-07-12
07b0457fd3e0430a574c614a4cc423c8704a33d75f8ee094758aa49e,2019-11-09
5837725890268820759639a20be67dcde426c1fa1fb9ff860eda02d3,2019-04-16
52070e520e2acd1f6d17ddabf129b83a2b956c5f6227fe41c51f8034,2019-05-15
1bfacdac6a6fd9d5b75365b9bc4e2cd915166182eb5561ea4de60863,2019-10-14
eedcb6032dc789d4c34304936502b77b597c8650dc2e946c37580c35,2019-05-23
9db9eb57f82e6056fccc7eded1f1d1700f388d5fb7a725685c15dad6,2019-06-25
3fc0f98504882f0b31cb6b22d504a30a0a1fbe9d7b9e7147a8e2b7b3,2019-05-24
9f73b9b663d7dc61f536ec57d2c11dc51940e83ff51dbf3854a7433a,2019-07-09
a704b2441c29e5dd4a519d8087676ff4af203ceb2952689b5b0c0975,2019-12-15
1d5b55d6cf2feb1e8490aad45743d3eaa8fcf0eb1d3b9db5744f22a7,2019-10-10
ce2060a588bf8ad5251395bc776765ed0077f1efab1c5db05b57cc38,2019-04-25
35af4db3d25f553445674e873b9c459f6eae6df2ce4035cac4bca1e0,2019-08-31
0d83889b35a68683c5ca1787611fe37d03323ca14c849692b651b09e,2019-09-03
bd86011509c5e4dad4849831e0b731730cd8ef808f18f11fd4857cea,2019-04-23
dcc551db0daab64ce6046155c7bab3cd9883cac37ff847e5436c4566,2019-07-15
10fd582878cf3dfb4f091c7535d01fd44e923d8fefd0afb420d49737,2019-07-13
9fdbf7cf3a05c57c2d834bcc7626d4cd3fe367d2ebb889e5fdb142f7,2019-06-20
67ae4b91d71f640b4c325a15faeff3f52058b7306b2806bae6f9eb71,2019-08-30
173cf15df57d87247ecdc2fc5191d53cf9425a63656c8c82cc6ba603,2019-12-05
99e76fb41beec54530866b51ed7824f697617918a5f71330b5938a27,2019-04-20
26baa4cf52b532bffa5ff56d549aa88072c7a1bf8f497a773bd2eaa1,2019-09-28
5f904a4d5bffde7c5ce514051d3c0b76295470a0adcc1c7525220928,2019-07-04
a8e07a9da0a1a77f6065bdd1e5e4b182286d4017c9a5f459fd46f438,2019-08-14
8762ff1e7b140219ea35fb4a64226d60b6c52fce68b499e7731e3e41,2019-12-22
7c63032e1c301a38a7903046416a1dbe480b4c9e142a71212683e1a8,2019-05-04
6b7ec32382da973648e0c4117edece9efe041e448fa3b20fb0a00fb4,2019-12-25
99f5b30692134b1833dcb9dd09cdb2a72053b85b12c76b353acb8fc3,2019-07-17
d2a8a181b70bd5a8ee940073fba6f3b59c9dc67e2b890c4fe4b524b4,2019-11-14
16bd45784057a2a2a77819280c8363b48ac6e83022b28c881ab78777,2019-06-26
a6ee69d9bf65f40e0a1038f004499038a27f67ac6489029ac4ed09cd,2019-06-20
b197e153cd6d70ea47ab293ad61e253897fcbe97e4a97b07b0ab01f7,2019-05-12
eea3d5426dc8f2285d438e830399dd70aed441d1ab7b4142e2486ca5,2019-06-19
07d665615e559ee0f746309dfc7db4266eedc1ac7fb82fca0d8c4316,2019-11-22
7fdbde8c85ba2f22f64a50ec8c632f20bc332ae947736a01abdc9fd0,2019-10-30
c85efcb04a8ad6770cd4ee902ce9da49694bb64249c78ae1009a899b,2019-07-09
7ea43f5c837e04086308d69f2c94c17a248df2971a03e21f07b5311d,2019-12-18
133c54054bf1b2d2ee3e69b5e7b28e35417245136dbe29b7ccdbadce,2019-10-19
0cd99ed75e1e02f790c2ae2957ea5d804d5a0ef04c645137085586d3,2019-06-16
73dcb4ba46b4b879292b1bb4692aa1dcdf91b95f784ab61fdb7692f0,2019-09-30
69904ceaa48e7be31e9d090158a5684f7db6ed3f96e0d1a2a365d39d,2019-05-15
25c68fa32d2eeb511d791ff3aa5eb97895c92070bbd155a9fff42d11,2019-09-23
659a9299c67496b93befa755e2bea76e2702045788dc8083ae066202,2019-05-15
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-05-12
e7f50f23f0260cb1ec98155ecca19fed527eb3518cb15939bb799bd7,2019-04-22
6f37c2b6b11fdbc9ffed35b3f7bafc1e66c7e1c022a58392f0f2928b,2019-07-19
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2019-05-22
c8dfb441b245cbc5d3d939b35703d460bc826f3e85086947bbb79acc,2019-05-19
919d7e21d20dca334a77f5c6ced431dfbe094c8eb3f5d4afc34b1c63,2019-09-16
3ab5e1fb829695a21ec6c2c6db8be418ad57869778cfbc2e1db398e0,2019-07-12
8b6e7d51c6763b4c1169ab327710376a68b07fbe0224a67f36a349b9,2019-08-31
2e2e659665b7c3559f410cf9ce3a08ca135f890874ad3e96514a92c5,2019-07-10
c1d316170dc87c87c8bd2ae5d1bcf8120101417d0a8d2f133ab3481f,2020-01-08
4b764f6892a086b0eaf8849a4b72a743f106ad68338c03fc162c1c31,2019-12-24
1970e2a26dccfe1e4d7a8195d07823870a8c6b67d377a05bc7230e3d,2019-08-26
54af1793b4f032be7cdd9f5cd4f11a290bbb3883d85b294524eefc8f,2019-04-20
acfbb5f5b0f577e0d5b4504ba368a326dbba7585bc980f1282e6dbcc,2019-06-10
93646e8363801a09f10b9db70e35b661bc0e5653b6014fba3fc51cf2,2019-07-06
533f8c7cd2cd7f3b44440403e23ccf8d5fadeac0db37c7a4e3c68a8d,2019-04-29
c53a01dda6ebaee9e86512654bdb53642cb13e0a25cea50026e3a330,2019-05-10
d8fe53dea3c47ee4371459d984768a9f78da9a7835bc82a7ec0f1220,2019-05-29
ba30cf468b2e05bdc249fc2e822dbb6e0993ad3246cecb5fcc8711aa,2019-10-04
b00ca4b97df058dc3070081c0025f73a804f7c4c0546e4928a35a774,2019-10-09
5679168f0590bba1a2884ee8d06e19a0c0c6bc23bfdaed2c9aa82363,2019-10-09
d5494a04a5d671009286fe03c634e280d2d5956eaca51897aaffa6d7,2019-11-13
8f024d296eae9def2c34132e798a4af67d87ba3781d83bb93100cb64,2019-12-13
9a92e95979a08e7d503aeb5a34f9cd518731f6b7841ba62c69f72c50,2019-09-03
dec882c1d5a1446ad9761b12b2d12df2c60abfb5a1450ad8f29d9229,2019-06-14
13b7482994d200b1b50c90eb9b652893cbcc75a49460ad77b65b4849,2019-12-13
232bd7b8771f7f889e96f5875a84d5109aea88e4638534913dd30100,2019-06-26
258c7d76d8cbf94f6c8541d4a5a6b1fe7fde81e9eed033d654464b86,2019-05-12
cafd814e6ff6ecb8d9a2d89a470730413ef4dc6b58368ccc57ccc7a7,2019-05-31
8d45812abd2c1d51f92c9b9d5a29a4d5a9d759b5c04cc6c5f18635f7,2019-06-20
4275736413b0422403d4a5a0b460dfb187a4d8a47a49e33d0b216432,2019-10-17
ed3518c870aa506e04f422e4dc20c96cae5f7e39dcc02054877fbfcc,2019-07-30
b2735fd335b36d2d5a8463b57b1a7881602877da9816c2bba2699e7b,2019-12-05
ac773725bf3b8c5aa68c996c2b9de18a67b9ec4d008869404cf5a0fe,2019-04-26
ffef376cbadb9e401626a555fbdb9e019112a923a9bae0f8b12f9574,2019-05-07
52e36506f744d8520f4ed4ac87ce24714f6a135e53cc39c458cfe22d,2019-04-21
1d2845c098ca6aaca05564749edd0b9907c3483db615a2b16c3c48f9,2019-04-24
c0db7fb6e4395e8888b85fbf982df6d14bbb9379fc10974a0f51a825,2019-04-15
9d87747647647e1cabdf0b67a6ad1346a4500c8ccc06faba92429a3e,2019-05-16
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-09-15
15231bc2354c44a1af132bf48822f6f7ee13e0d5bb240c18ffd0a819,2019-08-17
98da437eb929132c962d37540450109c75c7d3234a91af3ae342f410,2019-07-11
ea12a87703f3091098801ffea0ef6bbbd8355a233ec4ad79e16fd59f,2019-06-29
f73ddd438d262693dbe817e249370c53257cf17ca7274ec1b79c6bc6,2019-04-17
2b617d98bdccf391b33fc40ad588345720a7e70539a88495c918701e,2020-01-12
15e6ef94844d55ce414823fb8568df432cdbc11149f5c949f33dfe5c,2019-10-24
5bedff82a2e80680b0c066fa7e67b78ce18889ef150a1a1a666f3c60,2020-01-08
94d8249fc5b1bf65bfb48ed1bb5231b9d35e2ca5eb9ad9aaaa5f7466,2019-05-04
8745c32b8d26de07973c2c676b7ac3e1da72d14b68fdc42d4084bd93,2019-05-18
a0c4b73ceca734bcee9e8fb4355d731c39fb1280b6cdf061c5d65cde,2019-11-04
00377953d71c9853031f34db32b1186e5378f57139f20f47ec3441c9,2019-08-31
5de5df7e87dd004810447bd9198cad6c21e323a141fd9baedc7f9ead,2019-05-04
76fd3f58471f5147964e2d54bdded17bf74fa7a49b36eed893e36d2e,2019-05-12
380407fe5bcb0e984f264e62c4b20511d4d9918afe6355dad9398491,2019-05-11
80f5a3f910b9e382a9942251d8fc794fe98a6e0404c2b19415d052f3,2019-12-27
8fbe4bac9222f9b274d518e8534ff1fe16c6311b940688fa3e9069cf,2019-09-29
cfb7f464a7ea381b885db4fe5a0144b553c784afaf8e9ff310f7decf,2019-06-29
8ef4803d7a41e8b2164e77a06b4c67650806572218ccd4850996823e,2019-04-15
ea6c08c36b21e6998d99026a6c25aa9bafa5a5b0bcec40c5a01e6ff6,2019-05-08
2928933ff48b421778606c5cca29f370efa983e5012193e5ac81dd03,2019-11-06
20490908b549eaf3b2ba3b3146a4e640ae9d3e2791e2aab96e46fef7,2019-09-26
ca77eca3c8b197ea7bf1c3c74b2e49ac73209cc7cf85b7763f0dfed2,2019-05-16
7fd6602b4b626d3656f552f14a923a5ccdd7b0ebc4f4b2b72df7bde0,2019-06-22
df178eaf98c1edca7e92f1222b1bde3d6a664be785d84704fd6325c8,2019-04-16
572ab51b40a1cdb8a9b0a81a864d09d9ff2381c9b12fb9f4f9af6d27,2019-09-24
87097c288d39da505613051102805e358041344a1a85fe5d7ccfccdb,2019-07-31
5cfe359dd25050dcad4b658728fe09fb1d2bad7fa4e2abe821bcec62,2019-06-28
860ce71db84f5b68d263b6dfe6204522e4238780d165ad4c5f78145a,2019-05-11
a3a038b5f1d876e0ba974d381c9a17f2d523741199f57a1b0934ca91,2019-07-02
a969a82e2b39fe8cfe069c3fc9e6f60f1529ce9c8b72fede1f663746,2019-08-06
8f53d0b36f50a5a65304f1669d3c0baf280a667d56c4933d08377ee6,2019-05-26
4ff484c7986ce4c0a2f173c5389ee62c2dd3fd45467b54f834b17e4f,2019-06-30
0b8ecd294cf1662a786b6b789a637ac90ad608aa995b0453706b7f76,2019-09-20
85973b5e172d5e59ae0acc6ac6d38c9079bcd0f50ddb949983f6eae5,2019-04-22
bfed7b66b8f67a571cc518b8539fd63b9241d4f9c8dc7d6b02693396,2019-07-26
68fdf23db2b00b9755906aa11c4b70495a9b4232cc3691a6cf013095,2019-08-04
3fd2bfbd0e432c4ea65e8623f32038f19e93752c57834685f67ebf97,2019-06-03
d4b4c6c451a427d0a961f6418e8d27ef498b55db39daa56258f4953a,2019-09-04
0fe393d2caf9551fab54eb4ec6cc5e604c64853c4bce45ddcc084b62,2019-08-10
96519b89a1a3ae83409f3bd5d6f11afbda3c7f30cff5d27e194de734,2019-06-28
b49ffb9931c9c84eb369c6b87e3e487e63de30978d5d6251760729d7,2019-07-11
ec339d440df3dfcba5b7ddedc856980fcd4126c6cc15996d667c7fd1,2019-09-03
34df888b13a525b2082e20944ae52c25315d43f20c524640e780fba6,2019-05-08
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-07-27
0c172dff396928e631c63d1a3f1a30d0a21690659f62ba8dd486ff65,2019-07-08
755cf34d4ec49a47a280ba270993c4da59d4eeb42815da32f6febc0c,2019-10-21
f1eb90f09f126d0b9c12f8ef1cb5feb99810e1458c5bd16cc9331a11,2019-11-03
16461a5d9d0717db7ad53f6269bbf35c6f2ad1dd14298eca7905a093,2019-05-03
325d1530904a2894f713b32b07333e6eb673ce3088f02ac504b886f5,2019-04-20
565f757796c1a32152b073a662c2d1a8ff457c3ac993e9d476efc3bf,2019-11-06
9794658d3ae9142d087e23988c3e13d764bc80b2bee10f64893a5293,2019-10-27
b09c1bf45e908d119a5ebf0606dafe209acc6f9c0097dde23a59573d,2019-10-25
a01d51d4ebda1cb831d42d6bab28a29a9e182dfe2e4caa8644f5b993,2019-05-04
ab6d5ba82d557cca038613943988dac92c0caa1f5ff22d4484a5c8b2,2019-07-18
17ff2561f48c082322a4eb61ecc7e8128159815d9081643685b4857a,2019-08-04
4f893046f99248b77c895d2c1e347902f7e0f6504391d57b5731aacc,2019-04-19
709508f931933512a4edb58429672b2d7a7b40674925428777b8e1e8,2019-12-25
61e4f985a75dbd83e0294f03d94d6c244b9354aa7b3bee53602760ed,2019-12-02
7feda6617da6641a4d905269c7b3e9308900a1bc9f0119d910817ef1,2019-08-20
1d027d2ecdae97ff8d7e7d924a48d03a99b14f282539f2d8b470f4b8,2019-05-10
0c96105a72698a449c0ec60746d050d55d82550676671bc93e7d92f5,2019-09-16
7b762f7a0a38f076a9cd7bad19e73582a84318f5fe3899f775dfe582,2019-06-13
6ec9570487d6282a79fcce347c0db2e443c12486dc068ef2e2f48873,2019-09-05
3018890c05a8a41e885025f185fe2db85c813d57fee920b21497b3ef,2019-07-01
1a7314890d72e879588879e42adf6fab94734c48d305745e2637859d,2019-04-17
bee92e5c0dc08fd05dd600a5dfd5c58087fcffdae748ec03b290b6a5,2019-06-03
e975486dfd270b61eefb1a72097437f94b003512e65188a2ccc0f2d2,2019-05-12
afad6981cfa49cf03dd799ee9419c39c284691bb96a57a811c75629e,2019-06-26
bf6e1e8bcb561c3e6f1473d6ddcbe7dfb8ddcee699015c60e9646623,2019-07-15
43473dc2af8f678fb85f853ac83ab9887ecc773d8d865e8dec5456e0,2019-08-01
6b6349e2aae1098ffa84098838a1a48ad66a87196d4104fc7632b95e,2019-08-28
189badf055365fc7f752add950643505746f3339b76e510d60a1ddba,2019-08-08
e64672bc207a64cdae0cfd5cc71c4f55abd2d45196d7a9ef034ad1f3,2019-07-28
c0b3c0b0e758622602160ea359963ff1d457ae6d1796a983f760d73e,2019-09-03
6bb6fce39766b3cedd9e5c40a47d1195e0dcf16ca3bfd666cba28db0,2019-05-21
10035fe9e1bcfcb5337eabf449d69ba0b5eb3e5e41049f5bdb41259e,2019-08-25
a0cda1f70aab0e70f61d2831a159008598e535c4f7b6616d34a054dc,2019-08-08
731035c5881db99f2f4e86435f2b4c42a420c4aeb0e137935ab9825e,2019-08-04
776c98546c88519dd004455a9de3b9ca018ccaa0c0d66c44055d5cd8,2019-06-07
b76afc7e0060d89868741cb031a4a41456116921b4312360035eff4f,2019-05-17
33b3788023c18bc04c15fc1f4db619f705b3e5caf7fd1ad6e6743b3a,2019-11-24
1a4f18e4b02c08aabdfe2cda3dc8021ff73bd81faaa53b17c85d9c82,2019-11-04
992296508eb496f2a25316b0ce2920f74358440180c8d99e11bfb8fc,2019-08-17
90cea89a4a26f80244d5015331139616025619b7ae27dbcec8ce2e8f,2019-05-15
3181435a34eea53b031f43f05c7e9c10707ff74c865f94f85c953fd1,2019-08-09
26f31c1f542eb2ff49b6602f207ea8a8097f5089a6300b508eaeaa99,2019-09-01
286c5d4464db31363dd58b647f1f747f205187e0b22c45fe0f65ec41,2019-10-26
fed4f3c192487f4bc6b35f3c4b662e934283a8abf22fb88220eae0be,2019-08-03
ef73b59bca10de5974ba39cce5659d9657c6def9fb2944ba6d267dc6,2019-06-19
f00172c7dc8881214505674ac7e7eaadf6243f136f3de2c5585c6c77,2019-05-21
8c2fe0c476aa35d94904adf3b32eeac39895d64e4baf6aa78624b2cd,2019-12-08
5899987de0010be340ac127f85db55514b3311f0d6c61f765dd5c108,2019-08-30
a370e07e4bb58e81b2f31cba5b65cb81f9cb028799cb45ff3ea5f3a6,2019-12-28
f66a1f76eb65a1f3e1381bf47afe46e304206c7c65750908f34efc66,2019-12-04
bfb447fed59d0837031cf5346899a5d4a99dfdb5a54c9c983df60086,2019-04-20
