uid,pay_dt,payment_sum
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-08-25,3.49
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-08-28,13.99
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-09-04,20.98
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-09-28,13.98
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-10-06,3.49
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-10-18,6.99
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-10-23,13.99
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-10-24,34.99
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-11-30,3.49
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2019-12-12,6.99
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2020-01-07,13.99
889d71abee7bf3a79ed1eac4a0fd81621d6024c8a114f201add8e300,2020-01-09,3.49
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2019-05-23,34.99
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2019-05-27,6.99
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2019-06-06,13.99
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2019-09-01,6.99
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2019-10-19,6.99
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2019-11-05,13.99
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2019-12-12,6.99
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2019-12-20,1.74
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2019-12-25,6.99
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2019-12-28,17.48
3fd9d073bab4be9c9945f3d4c97ae5709db85ca4fd8032936d05bc89,2020-01-11,13.99
2e2e659665b7c3559f410cf9ce3a08ca135f890874ad3e96514a92c5,2019-07-12,2.09
2e2e659665b7c3559f410cf9ce3a08ca135f890874ad3e96514a92c5,2019-08-04,3.49
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-09-19,6.99
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-10-01,6.99
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-10-03,59.46
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-10-04,2.09
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-10-06,3.49
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-10-18,6.99
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-11-03,3.49
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-11-16,3.49
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-11-18,3.49
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-11-30,3.49
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-12-03,6.99
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-12-13,13.99
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-12-14,34.99
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2019-12-20,1.74
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2020-01-04,6.99
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2020-01-06,3.49
e6e789b1b37e8b0070a559fa052284f55f704b33fdf5d32d3fb443c6,2020-01-09,3.49
15231bc2354c44a1af132bf48822f6f7ee13e0d5bb240c18ffd0a819,2019-08-20,6.98
8745c32b8d26de07973c2c676b7ac3e1da72d14b68fdc42d4084bd93,2019-05-22,13.99
8745c32b8d26de07973c2c676b7ac3e1da72d14b68fdc42d4084bd93,2019-05-23,13.99
8745c32b8d26de07973c2c676b7ac3e1da72d14b68fdc42d4084bd93,2019-05-29,6.99
8745c32b8d26de07973c2c676b7ac3e1da72d14b68fdc42d4084bd93,2019-06-06,24.46
8745c32b8d26de07973c2c676b7ac3e1da72d14b68fdc42d4084bd93,2019-06-13,34.99
8745c32b8d26de07973c2c676b7ac3e1da72d14b68fdc42d4084bd93,2019-06-25,6.99
8745c32b8d26de07973c2c676b7ac3e1da72d14b68fdc42d4084bd93,2019-07-07,5.59
80f5a3f910b9e382a9942251d8fc794fe98a6e0404c2b19415d052f3,2019-12-27,34.99
8ef4803d7a41e8b2164e77a06b4c67650806572218ccd4850996823e,2019-04-15,3.4
8ef4803d7a41e8b2164e77a06b4c67650806572218ccd4850996823e,2019-04-16,0.68
a969a82e2b39fe8cfe069c3fc9e6f60f1529ce9c8b72fede1f663746,2019-09-09,3.49
d4b4c6c451a427d0a961f6418e8d27ef498b55db39daa56258f4953a,2019-09-07,3.49
d4b4c6c451a427d0a961f6418e8d27ef498b55db39daa56258f4953a,2019-09-29,3.49
d4b4c6c451a427d0a961f6418e8d27ef498b55db39daa56258f4953a,2019-10-11,3.49
0fe393d2caf9551fab54eb4ec6cc5e604c64853c4bce45ddcc084b62,2019-08-18,10.48
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-07-27,11.17
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-07-29,3.49
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-07-30,16.08
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-08-04,3.49
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-08-08,17.47
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-08-09,13.99
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-08-16,20.97
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-08-20,13.98
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-08-22,6.99
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-08-23,18.18
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-08-24,20.98
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-08-26,13.99
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-08-27,20.98
2853ce1fc5ca9a21765a5988ae528bbb602d76e98eedc99f429c2aa1,2019-08-28,13.99
f00172c7dc8881214505674ac7e7eaadf6243f136f3de2c5585c6c77,2019-05-23,2.78
f00172c7dc8881214505674ac7e7eaadf6243f136f3de2c5585c6c77,2019-05-24,14.66
f00172c7dc8881214505674ac7e7eaadf6243f136f3de2c5585c6c77,2019-07-06,2.09
f66a1f76eb65a1f3e1381bf47afe46e304206c7c65750908f34efc66,2019-12-12,20.94
f66a1f76eb65a1f3e1381bf47afe46e304206c7c65750908f34efc66,2019-12-24,2.01
f66a1f76eb65a1f3e1381bf47afe46e304206c7c65750908f34efc66,2019-12-29,3.89
69dfbf83d1fbf7016f7f05c48e9e688490b3d1b6516459b4a3c2ab8d,2019-12-04,13.99
69dfbf83d1fbf7016f7f05c48e9e688490b3d1b6516459b4a3c2ab8d,2019-12-05,3.49
18d74d03e47e368c66a8d40bfce614ddb699deb7eb7f8fccda494e50,2019-07-14,2.09
18d74d03e47e368c66a8d40bfce614ddb699deb7eb7f8fccda494e50,2019-08-03,3.49
4bf7bf9d5b9d9a49042fbc4466c60485bb415a75fdb44ef253df920c,2019-05-23,3.49
07bbaa9936b449af43ede9a5d0b9d4631197f742fbd6541724619af2,2019-09-20,6.99
07bbaa9936b449af43ede9a5d0b9d4631197f742fbd6541724619af2,2019-09-23,2.09
07bbaa9936b449af43ede9a5d0b9d4631197f742fbd6541724619af2,2019-10-18,2.09
752ccee16a3a615e07ff2c3eca5a5e1d7841c47d61e46eca0180bb12,2019-06-06,13.99
752ccee16a3a615e07ff2c3eca5a5e1d7841c47d61e46eca0180bb12,2019-07-15,3.49
752ccee16a3a615e07ff2c3eca5a5e1d7841c47d61e46eca0180bb12,2019-08-14,3.49
752ccee16a3a615e07ff2c3eca5a5e1d7841c47d61e46eca0180bb12,2019-08-23,6.99
752ccee16a3a615e07ff2c3eca5a5e1d7841c47d61e46eca0180bb12,2019-09-23,3.49
752ccee16a3a615e07ff2c3eca5a5e1d7841c47d61e46eca0180bb12,2019-10-18,6.99
752ccee16a3a615e07ff2c3eca5a5e1d7841c47d61e46eca0180bb12,2019-11-16,3.49
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-09-28,69.99
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-10-01,1.38
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-10-12,13.99
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-10-18,13.98
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-10-20,13.98
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-10-23,6.98
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-10-27,6.99
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-10-28,13.99
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-11-11,69.99
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-11-28,10.49
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-11-29,10.49
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-11-30,34.99
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-12-06,13.99
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-12-07,69.99
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-12-12,20.98
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-12-16,13.99
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-12-17,6.99
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-12-20,36.73
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-12-21,1.74
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2019-12-23,3.49
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2020-01-03,13.98
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2020-01-04,20.98
5086acd39d90764e2abc8ddbeeefe099a64106fd93fecec73129c197,2020-01-07,34.99
502a7edfba9924f379c084417b761c4087d3579e83067eefcbef66e8,2019-09-03,3.49
4278d2e8771e213a683f981617a78039d0b370f9168534088aad3d4a,2019-12-17,6.99
4278d2e8771e213a683f981617a78039d0b370f9168534088aad3d4a,2019-12-24,6.99
885b36da6f73b65253a63a0f676c9cd42def81b8a4855f7496878137,2019-11-15,52.49
885b36da6f73b65253a63a0f676c9cd42def81b8a4855f7496878137,2019-11-16,209.97
885b36da6f73b65253a63a0f676c9cd42def81b8a4855f7496878137,2019-11-17,142.07
885b36da6f73b65253a63a0f676c9cd42def81b8a4855f7496878137,2019-11-18,104.98
885b36da6f73b65253a63a0f676c9cd42def81b8a4855f7496878137,2019-11-19,69.99
885b36da6f73b65253a63a0f676c9cd42def81b8a4855f7496878137,2019-11-21,69.99
6e75ce2c7c7fbad8aefa7e7129357c453ca2a91bf656dbd11cd4274a,2019-10-18,6.99
6e75ce2c7c7fbad8aefa7e7129357c453ca2a91bf656dbd11cd4274a,2019-11-30,3.49
6e75ce2c7c7fbad8aefa7e7129357c453ca2a91bf656dbd11cd4274a,2019-12-17,8.38
d255d32a71e789558e98f0bfb441723951df19c06d669ce31055c1f5,2019-10-30,6.99
d255d32a71e789558e98f0bfb441723951df19c06d669ce31055c1f5,2019-10-31,6.99
d255d32a71e789558e98f0bfb441723951df19c06d669ce31055c1f5,2019-12-02,10.49
d255d32a71e789558e98f0bfb441723951df19c06d669ce31055c1f5,2019-12-12,13.99
d255d32a71e789558e98f0bfb441723951df19c06d669ce31055c1f5,2019-12-16,3.49
d255d32a71e789558e98f0bfb441723951df19c06d669ce31055c1f5,2019-12-31,1.74
6f3b93da5e25cf236bb228764e9e6a003fcc3efc789e8f6339523326,2019-06-27,6.99
04de4f4dd11dca029b7d111596a97d7e02d0a95e1eab6f1dafd89f5b,2019-09-10,10.49
04de4f4dd11dca029b7d111596a97d7e02d0a95e1eab6f1dafd89f5b,2019-10-09,4.88
b0418616e6bd7e04760b2e941111b4d08be6e8fab4c68c0d23f5ee45,2019-06-16,3.49
70434dc81803505d07986289e8e87afe447dc61d2a486d64451bb41c,2019-04-19,2.09
70434dc81803505d07986289e8e87afe447dc61d2a486d64451bb41c,2019-04-25,6.99
70434dc81803505d07986289e8e87afe447dc61d2a486d64451bb41c,2019-04-30,2.09
70434dc81803505d07986289e8e87afe447dc61d2a486d64451bb41c,2019-05-01,13.99
256445201f2fbdf8e5af5a1480c942b6581c1450de0521a647ed14c9,2019-12-31,6.99
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-09-10,13.99
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-09-12,13.99
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-09-26,0.69
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-10-03,10.49
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-10-04,6.99
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-10-18,10.48
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-10-24,34.99
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-11-23,59.48
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-11-30,34.99
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-12-12,13.99
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-12-14,52.49
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2019-12-26,34.99
8b7a5750029cbb94021a2c50789b0bb7b0cef037b8ecee7d412fbc74,2020-01-11,13.99
22a36df1b5e3cf06ee6cf3d2ce2e6408fc4c67403fb397b50fc4a3e9,2019-05-18,3.49
9b71fceb1fd3d6039cb2bf7fd28944dbf362be09453c448ff2cf7407,2019-08-23,1.39
6264897299e883533434b9f815b164ee2f7653d0b33cb51afa698c25,2019-07-05,3.49
6264897299e883533434b9f815b164ee2f7653d0b33cb51afa698c25,2019-07-10,3.49
6264897299e883533434b9f815b164ee2f7653d0b33cb51afa698c25,2019-07-18,6.99
9b595306843f413c2b6c7de6c5dad23edd0c0a2e68852ecf7c742657,2019-10-02,0.69
9b595306843f413c2b6c7de6c5dad23edd0c0a2e68852ecf7c742657,2019-11-22,0.69
9b595306843f413c2b6c7de6c5dad23edd0c0a2e68852ecf7c742657,2019-12-17,0.69
4e7862aecfffbb8967fbf79e906820266df4d856ce2bc9406299d067,2019-07-13,6.98
4e7862aecfffbb8967fbf79e906820266df4d856ce2bc9406299d067,2019-07-16,3.49
4e7862aecfffbb8967fbf79e906820266df4d856ce2bc9406299d067,2019-07-20,6.99
4e7862aecfffbb8967fbf79e906820266df4d856ce2bc9406299d067,2019-08-03,3.49
1c15e1f2489c47107161d2bc8d99b31d9c42dddacd24c525c9817105,2019-10-12,3.49
1c15e1f2489c47107161d2bc8d99b31d9c42dddacd24c525c9817105,2019-10-18,6.99
1c15e1f2489c47107161d2bc8d99b31d9c42dddacd24c525c9817105,2019-12-01,10.49
1c15e1f2489c47107161d2bc8d99b31d9c42dddacd24c525c9817105,2019-12-07,13.99
1c15e1f2489c47107161d2bc8d99b31d9c42dddacd24c525c9817105,2019-12-12,6.99
1c15e1f2489c47107161d2bc8d99b31d9c42dddacd24c525c9817105,2019-12-25,1.74
e41055fcb6336f53b25888218f3de8cda8bff102ed8d4a1c7ee6682d,2019-07-13,2.09
aaaab0f892d3d4e00603d8d6bddcf94d6490779d9b791e463c070dff,2019-07-12,5.58
aaaab0f892d3d4e00603d8d6bddcf94d6490779d9b791e463c070dff,2019-07-14,6.99
aaaab0f892d3d4e00603d8d6bddcf94d6490779d9b791e463c070dff,2019-07-21,3.49
293840bb005f593817477755b3e4bd715dc9c0aa6c4c2bbc159ad636,2019-05-01,13.95
293840bb005f593817477755b3e4bd715dc9c0aa6c4c2bbc159ad636,2019-05-07,7.67
293840bb005f593817477755b3e4bd715dc9c0aa6c4c2bbc159ad636,2019-05-10,16.08
